Date,Value,Anomaly,state
2022-08-01,73.0,-0.2,Indiana
2022-09-01,66.1,-1.4,Indiana
2022-10-01,52.8,-4.0,Indiana
2022-11-01,43.1,-0.3,Indiana
2022-12-01,31.7,-5.0,Indiana
2023-01-01,36.4,6.6,Indiana
2023-02-01,38.3,5.4,Indiana
2023-03-01,40.9,-3.3,Indiana
2023-04-01,52.7,0.5,Indiana
2023-05-01,62.0,-1.3,Indiana
2023-06-01,69.2,-2.5,Indiana
2023-07-01,74.2,0.1,Indiana
2023-08-01,71.8,-1.4,Indiana
2023-09-01,67.1,-0.4,Indiana
2023-10-01,56.4,-0.4,Indiana
2023-11-01,43.0,-0.4,Indiana
2023-12-01,39.9,3.2,Indiana
2024-01-01,27.8,-2.0,Indiana
2024-02-01,39.6,6.7,Indiana
2024-03-01,46.3,2.1,Indiana
2024-04-01,54.8,2.6,Indiana
2024-05-01,66.6,3.3,Indiana
2024-06-01,72.9,1.2,Indiana
2024-07-01,73.2,-0.9,Indiana
2024-08-01,73.1,-0.1,Indiana
2024-09-01,68.4,0.9,Indiana
2024-10-01,57.6,0.8,Indiana
2024-11-01,47.4,4.0,Indiana
2024-12-01,34.6,-2.1,Indiana
2021-01-01,23.9,3.1,Iowa
2021-02-01,12.5,-11.8,Iowa
2021-03-01,42.3,3.8,Iowa
2021-04-01,49.3,1.0,Iowa
2021-05-01,59.0,-2.3,Iowa
2021-06-01,73.5,1.4,Iowa
2021-07-01,73.4,0.4,Iowa
2021-08-01,72.9,0.8,Iowa
2021-09-01,66.6,0.2,Iowa
2021-10-01,55.5,1.5,Iowa
2021-11-01,39.2,0.3,Iowa
2021-12-01,31.9,2.9,Iowa
2022-01-01,14.9,-5.9,Iowa
2022-02-01,21.3,-3.0,Iowa
2022-03-01,37.1,-1.4,Iowa
2022-04-01,43.8,-4.5,Iowa
2022-05-01,61.3,0.0,Iowa
2022-06-01,71.6,-0.5,Iowa
2022-07-01,74.2,1.2,Iowa
2022-08-01,72.0,-0.1,Iowa
2022-09-01,65.1,-1.3,Iowa
2022-10-01,50.4,-3.6,Iowa
2022-11-01,37.1,-1.8,Iowa
2022-12-01,21.3,-7.7,Iowa
2023-01-01,24.2,3.4,Iowa
2023-02-01,26.2,1.9,Iowa
2023-03-01,34.0,-4.5,Iowa
2023-04-01,49.3,1.0,Iowa
2023-05-01,62.7,1.4,Iowa
2023-06-01,71.3,-0.8,Iowa
2023-07-01,72.0,-1.0,Iowa
2023-08-01,72.5,0.4,Iowa
2023-09-01,67.2,0.8,Iowa
2023-10-01,53.4,-0.6,Iowa
2023-11-01,38.9,0.0,Iowa
2023-12-01,34.5,5.5,Iowa
2024-01-01,20.1,-0.7,Iowa
2024-02-01,37.0,12.7,Iowa
2024-03-01,40.6,2.1,Iowa
2024-04-01,50.8,2.5,Iowa
2024-05-01,62.0,0.7,Iowa
2024-06-01,72.0,-0.1,Iowa
2024-07-01,72.2,-0.8,Iowa
2024-08-01,71.1,-1.0,Iowa
2024-09-01,66.7,0.3,Iowa
2024-10-01,56.7,2.7,Iowa
2024-11-01,40.5,1.6,Iowa
2024-12-01,28.2,-0.8,Iowa
2021-01-01,34.0,3.3,Kansas
2021-02-01,24.1,-9.6,Kansas
2021-03-01,48.1,2.8,Kansas
2021-04-01,52.5,-2.1,Kansas
2021-05-01,61.9,-2.5,Kansas
2021-06-01,75.8,0.2,Kansas
2021-07-01,77.7,-1.1,Kansas
2021-08-01,79.1,0.4,Kansas
2021-09-01,73.3,1.1,Kansas
2021-10-01,59.1,-0.2,Kansas
2021-11-01,46.7,1.8,Kansas
2021-12-01,41.1,3.9,Kansas
2022-01-01,29.8,-0.9,Kansas
